# Title: PUP Domains Splunk Lookup
# Description: Block domains that host potentially unwanted programs (PUP)
# Updated: 2023-05-14T00:15:18Z
# Expires: 1 day (update frequency)
# Homepage: https://gitlab.com/malware-filter/pup-filter
# License: https://gitlab.com/malware-filter/pup-filter#license
# Source: https://github.com/zhouhanc/malware-discoverer
# Update (2023-05-10): Daily update has been paused. gitlab.com/malware-filter/pup-filter/-/issues/2
"host","path","message","updated"
"underbodieswki4.buzz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"uniccontent.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"unigogo.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"updateheavilyadvancedtheproduct.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"updatemostadvancedtheproduct.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"updatequickhighlytheproduct.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"updateuberlatestthefile.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"us-cleaningservices-2022.life","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"uservalidate.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"videobbc.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"videocnn.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"videoeast.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"videogoal.biz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"videopool.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"videospots.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"viewsunny.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"viewunic.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"wangmo.life","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"wantjoinsince.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"weeklyfreeinstant.rest","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"weeklyprizerealspecialoffer.rest","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"westacoast.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"westcontent.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"wgredmaraz.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"wiki-review.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"woodencube.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"worldsguide.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"yourcarinsurancefinders.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"zmfindyourhalf.top","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"zmprofitsurvey.top","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
